YEAR,INDICATOR,SEX,RATE_PER_100
2000,Stunting in children (under 5),FEMALE,46.1
2000,Stunting in children (under 5),MALE,51.3
2000,Stunting in children (under 5),TOTAL,48.7
2001,Stunting in children (under 5),FEMALE,46.1
2001,Stunting in children (under 5),MALE,51.3
2001,Stunting in children (under 5),TOTAL,48.7
2002,Stunting in children (under 5),FEMALE,46.1
2002,Stunting in children (under 5),MALE,51.3
2002,Stunting in children (under 5),TOTAL,48.7
2003,Stunting in children (under 5),FEMALE,46
2003,Stunting in children (under 5),MALE,51.2
2003,Stunting in children (under 5),TOTAL,48.6
2004,Stunting in children (under 5),FEMALE,45.9
2004,Stunting in children (under 5),MALE,51.1
2004,Stunting in children (under 5),TOTAL,48.5
2005,Stunting in children (under 5),FEMALE,45.8
2005,Stunting in children (under 5),MALE,51
2005,Stunting in children (under 5),TOTAL,48.4
2006,Stunting in children (under 5),FEMALE,45.5
2006,Stunting in children (under 5),MALE,50.8
2006,Stunting in children (under 5),TOTAL,48.1
2007,Stunting in children (under 5),FEMALE,44.9
2007,Stunting in children (under 5),MALE,50.3
2007,Stunting in children (under 5),TOTAL,47.6
2008,Stunting in children (under 5),FEMALE,44
2008,Stunting in children (under 5),MALE,49.6
2008,Stunting in children (under 5),TOTAL,46.8
2009,Stunting in children (under 5),FEMALE,42.9
2009,Stunting in children (under 5),MALE,48.6
2009,Stunting in children (under 5),TOTAL,45.8
2010,Stunting in children (under 5),FEMALE,41.4
2010,Stunting in children (under 5),MALE,47.4
2010,Stunting in children (under 5),TOTAL,44.4
2011,Stunting in children (under 5),FEMALE,39.8
2011,Stunting in children (under 5),MALE,45.9
2011,Stunting in children (under 5),TOTAL,42.9
2012,Stunting in children (under 5),FEMALE,38.1
2012,Stunting in children (under 5),MALE,44.4
2012,Stunting in children (under 5),TOTAL,41.3
2013,Stunting in children (under 5),FEMALE,36.6
2013,Stunting in children (under 5),MALE,42.9
2013,Stunting in children (under 5),TOTAL,39.8
2014,Stunting in children (under 5),FEMALE,35.2
2014,Stunting in children (under 5),MALE,41.5
2014,Stunting in children (under 5),TOTAL,38.4
2015,Stunting in children (under 5),FEMALE,33.9
2015,Stunting in children (under 5),MALE,40.1
2015,Stunting in children (under 5),TOTAL,37
2016,Stunting in children (under 5),FEMALE,32.7
2016,Stunting in children (under 5),MALE,38.8
2016,Stunting in children (under 5),TOTAL,35.8
2017,Stunting in children (under 5),FEMALE,31.6
2017,Stunting in children (under 5),MALE,37.6
2017,Stunting in children (under 5),TOTAL,34.6
2018,Stunting in children (under 5),FEMALE,30.5
2018,Stunting in children (under 5),MALE,36.5
2018,Stunting in children (under 5),TOTAL,33.5
2019,Stunting in children (under 5),FEMALE,29.5
2019,Stunting in children (under 5),MALE,35.3
2019,Stunting in children (under 5),TOTAL,32.4
2020,Stunting in children (under 5),FEMALE,28.7
2020,Stunting in children (under 5),MALE,34.4
2020,Stunting in children (under 5),TOTAL,31.6
2021,Stunting in children (under 5),FEMALE,28
2021,Stunting in children (under 5),MALE,33.7
2021,Stunting in children (under 5),TOTAL,30.9
2022,Stunting in children (under 5),FEMALE,27.6
2022,Stunting in children (under 5),MALE,33.3
2022,Stunting in children (under 5),TOTAL,30.5
2023,Stunting in children (under 5),FEMALE,27.3
2023,Stunting in children (under 5),MALE,32.9
2023,Stunting in children (under 5),TOTAL,30.1
2024,Stunting in children (under 5),FEMALE,27
2024,Stunting in children (under 5),MALE,32.6
2024,Stunting in children (under 5),TOTAL,29.8